CarBrandName,Price,CarBrandImgHttpUrl,CarDetailUrl,VendorName,VendorImg,CarBrandList
奥迪A6L,42.79-65.68万,//img3.bitautoimg.com/autoalbum/files/20220915/413/202209152398323032641398181_6.png,https://car.yiche.com/xinaodia6l/,奥迪,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png," 2023款 40 TFSI 豪华致雅型, 2023款 40 TFSI 豪华动感型, 2023款 45 TFSI 臻选致雅型, 2023款 45 TFSI 臻选动感型, 2023款 45 TFSI quattro 臻选动感型, 2023款 45 TFSI quattro 臻选致雅型, 2023款 45 TFSI quattro 尊享致雅型, 2023款 45 TFSI quattro 尊享动感型, 2023款 55 TFSI quattro 尊享致雅型, 2023款 55 TFSI quattro 尊享动感型, 2023款 55 TFSI quattro 旗舰致雅型, 2023款 55 TFSI quattro旗舰动感型"
奥迪Q5L,39.68-48.88万,//img2.bitautoimg.com/autoalbum/files/20221207/182/202212073018039736618234945_6.png,https://car.yiche.com/aodiq5l/,奥迪,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png," 2023款 40 TFSI 冰雪运动版, 2022款 40 TFSI 时尚动感型, 2022款 40 TFSI 时尚致雅型, 2022款 改款 40 TFSI 豪华动感型, 2022款 改款 40 TFSI 豪华致雅型, 2022款 40 TFSI RS套件燃速型, 2022款 改款 45 TFSI 豪华致雅型, 2022款 改款 45 TFSI 豪华动感型, 2022款 改款 45 TFSI 臻选动感型"
奥迪A4L,32.18-39.68万,//img3.bitautoimg.com/autoalbum/files/20221115/152/202211153121850166315203193_6.png,https://car.yiche.com/quanxinaodia4l/,奥迪,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png," 2022款 40 TFSI 时尚动感型, 2022款 40 TFSI 时尚致雅型, 2022款 40 TFSI 豪华动感型, 2022款 40 TFSI 豪华致雅型, 2022款 40 TFSI RS套件燃速型, 2022款 45 TFSI quattro 臻选动感型"
问界M5,25.98-33.18万,//img2.bitautoimg.com/autoalbum/files/20221125/938/202211251328933963593801751_6.png,https://car.yiche.com/wenjiem5/,AITO,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png," 2022款 纯电版 620km 后驱标准版, 2022款 纯电版 552km 四驱性能版, 2022款 增程版 200km 后驱标准版, 2022款 增程版 180km 四驱性能版, 2022款 增程版 180km 四驱至臻版, 2022款 增程版 180km 四驱旗舰版"
奥迪A5,37.98-49.88万,//img2.bitautoimg.com/autoalbum/files/20220928/531/202209282718435957353174532_6.png,https://car.yiche.com/aodia5/,奥迪,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png," 2023款 Coupe 40 TFSI 时尚动感型, 2023款 Sportback 40 TFSI 时尚动感型, 2023款 Sportback 40 TFSI quattro 豪华动感型, 2023款 Cabriolet 40 TFSI 时尚动感型, 2023款 Sportback 45 TFSI quattro 臻选动感型"
奥迪Q3,27.88-32.97万,//img2.bitautoimg.com/autoalbum/files/20220915/152/202209152673323315915289718_6.png,https://car.yiche.com/aodiq3haiwai/,奥迪,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png," 2023款 35 TFSI 进取动感型, 2023款 35 TFSI 时尚致雅型, 2023款 35 TFSI 时尚动感型, 2023款 40 TFSI 时尚动感型, 2023款 40 TFSI RS套件燃速型, 2023款 45 TFSI quattro 时尚动感型, 2023款 45 TFSI quattro 冰雪运动版, 2022款 35 TFSI 进取动感型, 2022款 35 TFSI 时尚致雅型, 2022款 35 TFSI 时尚动感型, 2022款 40 TFSI 时尚动感型, 2022款 40 TFSI RS套件燃速型, 2022款 45 TFSI quattro 时尚动感型"
奥迪A6,46.08-63.78万,//img2.bitautoimg.com/autoalbum/files/20221102/39/202211023323737711103901866_6.png,https://car.yiche.com/aodia6/,奥迪,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png," 2023款 Avant 40 TFSI 豪华动感型, 2023款 Avant 45 TFSI quattro 臻选动感型, 2023款 Avant 45 TFSI quattro 大探险家版, 2023款 Allroad 55 TFSI quattro 尊享越野型, 2023款 Allroad 55 TFSI quattro 大探险家版"
奥迪A8,82.98-195.48万,//img4.bitautoimg.com/autoalbum/files/20220819/215/202208192606089625521580526_6.png,https://car.yiche.com/aodia8l/,奥迪,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png," 2022款 改款 A8L 45 TFSI quattro 豪华型, 2022款 改款 A8L 50 TFSI quattro 臻选型, 2022款 改款 A8L 50 TFSI quattro 尊享型, 2022款 改款 A8L 55 TFSI quattro 旗舰型, 2022款 A8L Horch 创始人版 经典型, 2022款 A8L Horch 创始人版 传奇型, 2022款 A8L Horch 创始人版 双色臻藏型, 2022款 A8L Horch 创始人版 双色典藏型, 2022款 改款 A8L 60 TFSI quattro 尊贵型"
奥迪A3,20.31-24.97万,//img2.bitautoimg.com/autoalbum/files/20221115/351/202211153058850152235133300_6.png,https://car.yiche.com/aodia3-3999/,奥迪,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png," 2022款 Sportback 35 TFSI 进取致雅型, 2022款 Sportback 35 TFSI 进取运动型, 2022款 Sportback 35 TFSI 时尚致雅型, 2022款 Sportback 35 TFSI 时尚运动型, 2022款 Sportback 35 TFSI RS套件燃速型, 2022款 A3L Limousine 35 TFSI RS套件燃速型, 2022款 Sportback 35 TFSI 豪华致雅型, 2022款 Sportback 35 TFSI 豪华运动型, 2022款 A3L Limousine 35 TFSI 进取致雅型, 2022款 A3L Limousine 35 TFSI 进取运动型, 2022款 A3L Limousine 35 TFSI 时尚致雅型, 2022款 A3L Limousine 35 TFSI 时尚运动型, 2022款 A3L Limousine 35 TFSI 豪华致雅型, 2022款 A3L Limousine 35 TFSI 豪华运动型"
奥迪Q6,46.76-63.06万,//img1.bitautoimg.com/autoalbum/files/20221114/107/202211143524841111010788206_6.png,https://car.yiche.com/aodiq6-8014/,奥迪,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png," 2022款 40 TFSI quattro Roadjet 观云型 羽林套装 7座, 2022款 40 TFSI quattro Roadjet 观云型 飞骑套装 7座, 2022款 45 TFSI quattro Roadjet齐云型 羽林套装 7座, 2022款 45 TFSI quattro Roadjet齐云型 飞骑套装 7座, 2022款 45 TFSI quattro 齐云型 黑武士 7座, 2022款 45 TFSI quattro 齐云型 影武士 7座, 2022款 45 TFSI quattro 齐云型 黑武士 6座, 2022款 45 TFSI quattro 齐云型 影武士 6座, 2022款 50 TFSI quattro Roadjet行云型 羽林套装 6座, 2022款 50 TFSI quattro Roadjet行云型 飞骑套装 6座, 2022款 50 TFSI quattro Roadjet凌云版edition one 飞骑套装 6座"
奥迪A7L,41.87-77.77万,//img1.bitautoimg.com/autoalbum/files/20221124/796/202211244801927895079698622_6.png,https://car.yiche.com/aodia7l/,奥迪,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png," 2022款 45 TFSI S-line 筑梦新生版 流晶套装, 2022款 45 TFSI S-line 筑梦未来版, 2022款 45 TFSI quattro S-line 见远型 流晶套装, 2022款 45 TFSI quattro S-line 见远型 曜黑套装, 2022款 45 TFSI quattro S-line 风骑士版, 2022款 45 TFSI quattro S-line 圣骑士版, 2022款 45 TFSI S-line 筑梦青春版, 2022款 55 TFSI quattro S-line 志远型 流晶套装, 2022款 55 TFSI quattro S-line 志远型 曜黑套装, 2022款 55 TFSI quattro S-line 先行版, 2022款 55 TFSI quattro S-line 境远型 流晶套装, 2022款 55 TFSI quattro S-line 境远型 曜黑套装, 2022款 55 TFSI quattro S-line 先见版"
奥迪Q7,63.28-80.48万,//img1.bitautoimg.com/autoalbum/files/20191125/481/0354184811_6.jpg,https://car.yiche.com/aodiq7/,奥迪,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png," 2023款 45 TFSI quattro S line运动型, 2023款 55 TFSI quattro S line运动型, 2023款 55 TFSI quattro S line冰雪运动版, 2023款 55 TFSI quattro S line尊贵型"
AION Y,13.76-20.26万,//img2.bitautoimg.com/autoalbum/files/20220927/304/202209277577429313830442382_6.png,https://car.yiche.com/aianaiony/,埃安,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png," 2023款 Plus 510km 70 乐享版, 2023款 Plus 510km 70 智领版, 2023款 Plus 510km 70 科技版, 2023款 Plus 510km 70 行政版, 2023款 Plus 610km 80 乐享版, 2023款 Plus 610km 80 智领版, 2023款 Plus 610km 80 智驾版, 2023款 Plus 610km 80 行政版, 2022款 500km 70 乐享版 磷酸铁锂, 2022款 500km 70 畅享版 磷酸铁锂, 2022款 500km 70 智领版 磷酸铁锂, 2022款 500km 70 智驾版 磷酸铁锂, 2022款 500km 70 科技版 磷酸铁锂, 2022款 500km 70 行政版 磷酸铁锂, 2022款 600km 80 超长续航版 三元锂, 2022款 600km 80 智驾版 三元锂, 2022款 600km 80 行政版 三元锂"
 AION Hyper SSR,128.60-168.60万,//img2.bitautoimg.com/autoalbum/files/20221125/907/202211253592937580990729482_6.png,https://car.yiche.com/hyperssr/,埃安,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png," 2023款 Hyper SSR, 2023款 Hyper SSR Ultimate 赛道版"
 AION Hyper GT,暂无,//img2.bitautoimg.com/autoalbum/files/20221230/998/20221230682236877599878442_6.png,https://car.yiche.com/aianhypergt/,埃安,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png, 2023款 顶配版
阿斯顿·马丁DBX,196.80-324.80万,//img4.bitautoimg.com/autoalbum/files/20230202/653/20230202912530268065396444_6.png,https://car.yiche.com/asidunmadingdbx-6008/,阿斯顿·马丁,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png," 2024款 3.0T STRAIGHT-SIX, 2024款 4.0T V8, 2024款 4.0T V8 707, 2023款 3.0T STRAIGHT-SIX, 2023款 4.0T V8, 2023款 4.0T V8 707"
阿维塔11,34.99-60.00万,//img4.bitautoimg.com/autoalbum/files/20230216/89/202302163864653253208934290_6.png,https://car.yiche.com/aweitae11/,阿维塔,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png," 2022款 555km 长续航双电机版 5座, 2022款 555km 长续航双电机版 4座, 2022款 555km 长续航双电机奢享版 5座, 2022款 555km 长续航双电机奢享版 4座, 2022款 680km 超长续航双电机奢享版 5座, 2022款 680km 超长续航双电机奢享版 4座, 2022款 680km 011联名限量版 4座"
AION V,18.76-26.98万,//img3.bitautoimg.com/autoalbum/files/20220909/657/202209095137271638365788823_6.png,https://car.yiche.com/aianaionv/,埃安,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png," 2023款 Plus 500km 70 智领版 三元锂 5座, 2023款 Plus 500km 70 智领版 磷酸铁锂 5座, 2023款 Plus 500km 70 行政版 磷酸铁锂 5座, 2023款 Plus 500km 70 行政版 三元锂 5座, 2023款 Plus 500km 70 智享科技版 三元锂 5座, 2023款 Plus 500km 70 智享科技版 磷酸铁锂 5座, 2023款 Plus 500km 70 智享版 三元锂 7座, 2023款 Plus 500km 70 超级快充版 三元锂 5座, 2023款 Plus 500km 70 极速快充版 三元锂 5座, 2023款 Plus 600km 80 智领版 三元锂 5座, 2023款 Plus 600km 80 智享科技版 三元锂 5座, 2023款 Plus 600km 80 智享版 三元锂 7座, 2023款 Plus 600km 80 行政版 三元锂 5座, 2023款 Plus 600km 80 领航智驾版 三元锂 5座, 2023款 Plus 600km 80 领袖版 三元锂 5座, 2023款 Plus 702km 90 超长续航版 三元锂 5座, 2022款 Plus 500km 70 智领版 磷酸铁锂, 2022款 Plus 500km 70 智领版 三元锂, 2022款 Plus 500km 70 智享科技版 磷酸铁锂, 2022款 Plus 500km 70 智享科技版 三元锂, 2022款 Plus 500km 70 超级快充版 三元锂, 2022款 Plus 600km  80 智领版 三元锂, 2022款 Plus 600km 80 智享科技版 三元锂, 2022款 Plus 600km 80 领航智驾版 三元锂, 2022款 Plus 702km 90 超长续航版 三元锂"
AION LX,28.66-46.96万,//img3.bitautoimg.com/autoalbum/files/20220110/157/202201101131178413015773078_6.png,https://car.yiche.com/aionlx/,埃安,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png," 2022款 Plus 千里版, 2022款 Plus 80 智尊版, 2022款 Plus 80D 旗舰版, 2022款 Plus 80D Max版"
AION S,13.98-19.16万,//img3.bitautoimg.com/autoalbum/files/20210625/911/1051339114_6.jpg,https://car.yiche.com/guangqixinnengyuanaions/,埃安,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png," 2023款 Plus 510km 70 乐享版 60kWh, 2023款 Plus 510km 70 乐享版 59.4kWh, 2023款 Plus 510km 70 智领版 60kWh, 2023款 Plus 510km 70 智领版 59.4kWh, 2023款 430km 炫550 55.2kWh, 2022款 Plus 510km 70 智驾版 58.8kWh, 2022款 Plus 510km 70 行政版 58.8kWh, 2022款 Plus 510km 70 智领版 58.8kWh, 2022款 Plus 602km 80 科技版 69.9kWh, 2022款 Plus 602km 80 智驾版 69.9kWh, 2022款 Plus 602km 80 行政版 69.9kWh, 2022款 改款 410km 炫530 50.59kWh, 2022款 460km 炫580 59.4kWh, 2022款 460km 炫580 Pio 59.4kWh, 2022款 460km 炫580 60kWh, 2022款 460km 炫580 Pio 60kWh, 2022款 460km 魅580 60kWh, 2022款 460km 魅580 Pio 60kWh, 2022款 460km 魅580 公务版 60kWh, 2022款 460km 魅580 行政版 60kWh"
阿斯顿·马丁DB11,235.80-245.80万,//img3.bitautoimg.com/autoalbum/files/20220916/794/20220916966329523379460264_6.png,https://car.yiche.com/asidunmadingdb11/,阿斯顿·马丁,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png," 2023款 4.0T V8 Coupe, 2023款 4.0T V8 Volante"
Tonale,暂无,//img3.bitautoimg.com/autoalbum/files/20220223/900/20220223876559657690021544_6.png,https://car.yiche.com/aerfaluomioutonale/,阿尔法·罗密欧,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png, 2022款 基本版
Stelvio斯坦维,45.68-95.28万,//img3.bitautoimg.com/autoalbum/files/20221026/385/202210263539678117238597784_6.png,https://car.yiche.com/aerfaluomioustelvio/,阿尔法·罗密欧,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png," 2023款 2.0T Estrema, 2022款 2.0T Ti 驾控版, 2022款 2.0T Veloce 赛道版, 2022款 2.9T 四叶草版"
V8 Vantage,175.80-216.80万,//img2.bitautoimg.com/autoalbum/files/20221107/809/20221107860778682980999907_6.png,https://car.yiche.com/v8vantage/,阿斯顿·马丁,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png," 2023款 4.0T V8 Coupe, 2023款 4.0T V8 Roadster, 2023款 F1 Edition Coupe, 2023款 F1 Edition Roadster"
阿斯顿·马丁DBS,400.80-410.80万,//img3.bitautoimg.com/autoalbum/files/20190523/037/0340460374_6.jpg,https://car.yiche.com/asidunmadingdbs/,阿斯顿·马丁,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png," 2023款 DBS Superleggera V12 Coupe, 2023款 DBS Superleggera V12 Volante"
Giulia,37.98-90.28万,//img4.bitautoimg.com/autoalbum/files/20220916/155/20220916978329548915567600_6.png,https://car.yiche.com/aerfaluomiougiulia/,阿尔法·罗密欧,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png," 2023款 2.0T 周冠宇特别版, 2023款 2.0T Estrema, 2022款 2.0T Ti 驾控版, 2022款 2.0T Veloce 赛道版, 2022款 2.9T 四叶草版"
傲旋,108.00-158.00万,//img1.bitautoimg.com/autoalbum/files/20210831/996/0550079960_6.jpg,https://car.yiche.com/aoxuan-7643/,AUXUN傲旋,https://static1.bitautoimg.com/yc-m/car-m/car/images/lazyload-brand.png," 2023款 2.0T 纵横四海旗舰版, 2022款 2.0T 标准版, 2022款 2.0T 大白鲨, 2022款 2.0T 大白鲨典藏版"
